station,mode,exit_code,expected_epochs,committed_diagnostic_epochs,attempted_epochs,last_committed_epoch,failed_epoch,wall_seconds,ar_summary_count,ar_stage_count,newly_fixed_total,wl_selected_total,l1_selected_total,DGEMV_count,transaction_rollback_count,last_postfit_passed,raw_dual_frequency_measurements_verified,stec_states_present,trace
MARS,float,1,44,1,2,2024-07-17T00:03:00,2024-07-17 00:03:30,5.332808422972448,0,0,0,0,0,0,1,True,True,True,/mnt/d/GINAN_R20/inputData/outputs/r48_uduc_20260913_MARS_float/Network-r48_uduc_20260913_MARS_float-202419900.TRACE
MARS,ar,1,44,1,2,2024-07-17T00:03:00,2024-07-17 00:03:30,5.182848616037518,0,0,0,0,0,0,1,True,True,True,/mnt/d/GINAN_R20/inputData/outputs/r48_uduc_20260913_MARS_ar/Network-r48_uduc_20260913_MARS_ar-202419900.TRACE
DYNG,float,1,44,1,2,2024-07-17T00:03:00,2024-07-17 00:03:30,5.132486409973353,0,0,0,0,0,0,1,True,True,True,/mnt/d/GINAN_R20/inputData/outputs/r48_uduc_20260913_DYNG_float/Network-r48_uduc_20260913_DYNG_float-202419900.TRACE
DYNG,ar,1,44,1,2,2024-07-17T00:03:00,2024-07-17 00:03:30,5.13181230193004,0,0,0,0,0,0,1,True,True,True,/mnt/d/GINAN_R20/inputData/outputs/r48_uduc_20260913_DYNG_ar/Network-r48_uduc_20260913_DYNG_ar-202419900.TRACE
NICO,float,1,44,1,2,2024-07-17T00:03:00,2024-07-17 00:03:30,5.1823879149742424,0,0,0,0,0,0,1,True,True,True,/mnt/d/GINAN_R20/inputData/outputs/r48_uduc_20260913_NICO_float/Network-r48_uduc_20260913_NICO_float-202419900.TRACE
NICO,ar,1,44,1,2,2024-07-17T00:03:00,2024-07-17 00:03:30,5.282318030949682,0,0,0,0,0,0,1,True,True,True,/mnt/d/GINAN_R20/inputData/outputs/r48_uduc_20260913_NICO_ar/Network-r48_uduc_20260913_NICO_ar-202419900.TRACE
BREW,float,1,44,1,2,2024-07-17T00:03:00,2024-07-17 00:03:30,5.384581416030414,0,0,0,0,0,0,1,True,True,True,/mnt/d/GINAN_R20/inputData/outputs/r48_uduc_20260913_BREW_float/Network-r48_uduc_20260913_BREW_float-202419900.TRACE
BREW,ar,1,44,1,2,2024-07-17T00:03:00,2024-07-17 00:03:30,5.232487624976784,0,0,0,0,0,0,1,True,True,True,/mnt/d/GINAN_R20/inputData/outputs/r48_uduc_20260913_BREW_ar/Network-r48_uduc_20260913_BREW_ar-202419900.TRACE
JPLM,float,1,44,1,2,2024-07-17T00:03:00,2024-07-17 00:03:30,5.031907133990899,0,0,0,0,0,0,1,True,True,True,/mnt/d/GINAN_R20/inputData/outputs/r48_uduc_20260913_JPLM_float/Network-r48_uduc_20260913_JPLM_float-202419900.TRACE
JPLM,ar,1,44,1,2,2024-07-17T00:03:00,2024-07-17 00:03:30,5.133778129937127,0,0,0,0,0,0,1,True,True,True,/mnt/d/GINAN_R20/inputData/outputs/r48_uduc_20260913_JPLM_ar/Network-r48_uduc_20260913_JPLM_ar-202419900.TRACE
