station,mode,time,stage,reference,satellite,mean,variance,fractional,perr,selected,provisional_selected
MARS,ar,2024-07-17T00:10:30,USER_IF_WL_SD,G12,G06,20.0148,1.7795,0.0147841,0.788537,0,0
MARS,ar,2024-07-17T00:10:30,USER_IF_WL_SD,G12,G19,20.2046,0.836368,0.204558,0.695376,0,0
MARS,ar,2024-07-17T00:10:30,USER_IF_WL_SD,G12,G24,-8.16494,0.268855,-0.164939,0.469557,0,0
MARS,ar,2024-07-17T00:10:30,USER_IF_WL_SD,G12,G25,4.77261,0.319159,-0.227392,0.520486,0,0
MARS,ar,2024-07-17T00:10:30,USER_IF_WL_SD,G12,G32,4.93579,0.491539,-0.064215,0.598482,0,0
MARS,ar,2024-07-17T00:17:00,USER_IF_WL_SD,G12,G06,19.6493,1.58452,-0.350666,0.780203,0,0
MARS,ar,2024-07-17T00:17:00,USER_IF_WL_SD,G12,G19,20.2465,0.968024,0.246479,0.717747,0,0
MARS,ar,2024-07-17T00:17:00,USER_IF_WL_SD,G12,G24,-7.95958,0.268635,0.0404164,0.456584,0,0
MARS,ar,2024-07-17T00:17:00,USER_IF_WL_SD,G12,G25,5.02083,0.29039,0.0208272,0.476721,0,0
MARS,ar,2024-07-17T00:17:00,USER_IF_WL_SD,G12,G32,5.10773,0.437488,0.107732,0.576326,0,0
MARS,ar,2024-07-17T00:17:30,USER_IF_WL_SD,G12,G06,19.5861,0.789247,-0.413861,0.699236,0,0
MARS,ar,2024-07-17T00:17:30,USER_IF_WL_SD,G12,G19,20.2441,0.487471,0.244121,0.608125,0,0
MARS,ar,2024-07-17T00:17:30,USER_IF_WL_SD,G12,G24,-7.96003,0.134508,0.0399692,0.240384,0,0
MARS,ar,2024-07-17T00:17:30,USER_IF_WL_SD,G12,G25,5.02323,0.144955,0.0232337,0.264518,0,0
MARS,ar,2024-07-17T00:17:30,USER_IF_WL_SD,G12,G32,5.1278,0.218158,0.127804,0.407388,0,0
MARS,ar,2024-07-17T00:18:00,USER_IF_WL_SD,G12,G06,19.6193,0.522824,-0.380679,0.635982,0,0
MARS,ar,2024-07-17T00:18:00,USER_IF_WL_SD,G12,G19,20.2342,0.327305,0.234183,0.527147,0,0
MARS,ar,2024-07-17T00:18:00,USER_IF_WL_SD,G12,G24,-7.98326,0.0897842,0.0167379,0.110393,0,0
MARS,ar,2024-07-17T00:18:00,USER_IF_WL_SD,G12,G25,5.01973,0.0964584,0.0197297,0.130903,0,0
MARS,ar,2024-07-17T00:18:00,USER_IF_WL_SD,G12,G32,5.11459,0.144986,0.114586,0.279273,0,0
MARS,ar,2024-07-17T00:18:30,USER_IF_WL_SD,G12,G06,19.6289,0.390065,-0.371073,0.586477,0,0
MARS,ar,2024-07-17T00:18:30,USER_IF_WL_SD,G12,G19,20.2205,0.24726,0.220541,0.459928,0,0
MARS,ar,2024-07-17T00:18:30,USER_IF_WL_SD,G12,G24,-7.99474,0.0674295,0.0052624,0.0468128,0,0
MARS,ar,2024-07-17T00:18:30,USER_IF_WL_SD,G12,G25,5.0127,0.0722212,0.0127014,0.0592702,0,0
MARS,ar,2024-07-17T00:18:30,USER_IF_WL_SD,G12,G32,5.08745,0.108262,0.0874479,0.177204,0,0
MARS,ar,2024-07-17T00:19:00,USER_IF_WL_SD,G12,G06,19.6771,0.31048,-0.322944,0.534511,0,0
MARS,ar,2024-07-17T00:19:00,USER_IF_WL_SD,G12,G19,20.215,0.199259,0.214962,0.403741,0,0
MARS,ar,2024-07-17T00:19:00,USER_IF_WL_SD,G12,G24,-8.00063,0.0540204,-0.000634636,0.0191763,0,0
MARS,ar,2024-07-17T00:19:00,USER_IF_WL_SD,G12,G25,5.00147,0.0576848,0.00146909,0.0255642,0,0
MARS,ar,2024-07-17T00:19:00,USER_IF_WL_SD,G12,G32,5.06739,0.0863133,0.0673941,0.106336,0,0
MARS,ar,2024-07-17T00:19:30,USER_IF_WL_SD,G12,G06,19.749,0.257672,-0.251019,0.477229,0,0
MARS,ar,2024-07-17T00:19:30,USER_IF_WL_SD,G12,G19,20.2181,0.167278,0.218086,0.357948,0,0
MARS,ar,2024-07-17T00:19:30,USER_IF_WL_SD,G12,G24,-8.00453,0.0450831,-0.00453374,0.00776056,0,0
MARS,ar,2024-07-17T00:19:30,USER_IF_WL_SD,G12,G25,4.97953,0.0479971,-0.0204688,0.011064,0,0
MARS,ar,2024-07-17T00:19:30,USER_IF_WL_SD,G12,G32,5.04431,0.0717176,0.0443126,0.0603281,0,0
MARS,ar,2024-07-17T00:20:00,USER_IF_WL_SD,G12,G06,19.7965,0.2203,-0.203531,0.426637,0,0
MARS,ar,2024-07-17T00:20:00,USER_IF_WL_SD,G12,G19,20.1779,0.144689,0.177868,0.299866,0,0
MARS,ar,2024-07-17T00:20:00,USER_IF_WL_SD,G12,G24,-8.00923,0.0388017,-0.00923312,0.00319553,0,0
MARS,ar,2024-07-17T00:20:00,USER_IF_WL_SD,G12,G25,4.95222,0.0412261,-0.0477786,0.00542276,0,0
MARS,ar,2024-07-17T00:20:00,USER_IF_WL_SD,G12,G32,5.02609,0.0615181,0.0260877,0.0339482,0,0
MARS,ar,2024-07-17T00:20:30,USER_IF_WL_SD,G12,G06,19.8228,0.191953,-0.177218,0.382215,0,0
MARS,ar,2024-07-17T00:20:30,USER_IF_WL_SD,G12,G11,13.1922,2.3801,0.19216,0.817855,0,0
MARS,ar,2024-07-17T00:20:30,USER_IF_WL_SD,G12,G19,20.1561,0.127528,0.156117,0.252333,0,0
MARS,ar,2024-07-17T00:20:30,USER_IF_WL_SD,G12,G24,-8.0168,0.033992,-0.0168032,0.00131674,0,1
MARS,ar,2024-07-17T00:20:30,USER_IF_WL_SD,G12,G25,4.93002,0.0360036,-0.0699751,0.00290577,0,0
MARS,ar,2024-07-17T00:20:30,USER_IF_WL_SD,G12,G32,5.00879,0.0536736,0.00879389,0.0186829,0,0
MARS,ar,2024-07-17T00:21:00,USER_IF_WL_SD,G12,G06,19.8438,0.170161,-0.156214,0.341112,0,0
MARS,ar,2024-07-17T00:21:00,USER_IF_WL_SD,G12,G19,20.1011,0.114333,0.101084,0.198301,0,0
MARS,ar,2024-07-17T00:21:00,USER_IF_WL_SD,G12,G24,-8.02696,0.0303107,-0.0269581,0.000575902,0,1
MARS,ar,2024-07-17T00:21:00,USER_IF_WL_SD,G12,G25,4.90808,0.0320278,-0.0919166,0.0018046,0,1
MARS,ar,2024-07-17T00:21:00,USER_IF_WL_SD,G12,G32,4.98695,0.0476978,-0.0130524,0.0105727,0,0
MARS,ar,2024-07-17T00:21:30,USER_IF_WL_SD,G12,G06,19.8934,0.15254,-0.106609,0.293738,0,0
MARS,ar,2024-07-17T00:21:30,USER_IF_WL_SD,G12,G11,13.1157,1.16665,0.115719,0.739577,0,0
MARS,ar,2024-07-17T00:21:30,USER_IF_WL_SD,G12,G19,20.072,0.103658,0.0719726,0.159937,0,0
MARS,ar,2024-07-17T00:21:30,USER_IF_WL_SD,G12,G24,-8.03172,0.0273114,-0.0317164,0.000248293,0,1
MARS,ar,2024-07-17T00:21:30,USER_IF_WL_SD,G12,G25,4.89804,0.0287685,-0.101963,0.00101743,0,1
MARS,ar,2024-07-17T00:21:30,USER_IF_WL_SD,G12,G32,4.97777,0.0428113,-0.0222311,0.00598141,0,0
MARS,ar,2024-07-17T00:22:00,USER_IF_WL_SD,G12,G06,19.9219,0.138147,-0.0780607,0.254979,0,0
MARS,ar,2024-07-17T00:22:00,USER_IF_WL_SD,G12,G11,13.1076,0.768286,0.107612,0.679375,0,0
MARS,ar,2024-07-17T00:22:00,USER_IF_WL_SD,G12,G19,20.0397,0.094937,0.0396701,0.128072,0,0
MARS,ar,2024-07-17T00:22:00,USER_IF_WL_SD,G12,G24,-8.03176,0.0248597,-0.0317624,0.000103923,1,1
MARS,ar,2024-07-17T00:22:00,USER_IF_WL_SD,G12,G25,4.8965,0.0261049,-0.103503,0.000512595,1,1
MARS,ar,2024-07-17T00:22:00,USER_IF_WL_SD,G12,G32,4.97175,0.0388202,-0.0282507,0.00339513,0,0
MARS,ar,2024-07-17T00:22:00,USER_IF_L1_SD_CONDITIONAL,G12,G24,237.658,2.73808,-0.342422,0.831327,0,0
MARS,ar,2024-07-17T00:22:00,USER_IF_L1_SD_CONDITIONAL,G12,G25,139.471,6.45498,0.471187,0.888971,0,0
MARS,ar,2024-07-17T00:22:30,USER_IF_WL_SD,G12,G06,19.9451,0.126171,-0.0548626,0.220623,0,0
MARS,ar,2024-07-17T00:22:30,USER_IF_WL_SD,G12,G11,13.0778,0.570094,0.0778123,0.627378,0,0
MARS,ar,2024-07-17T00:22:30,USER_IF_WL_SD,G12,G19,20.0161,0.0876814,0.016071,0.103986,0,0
MARS,ar,2024-07-17T00:22:30,USER_IF_WL_SD,G12,G24,-8.03376,0.0228183,-0.0337629,4.48941e-05,1,1
MARS,ar,2024-07-17T00:22:30,USER_IF_WL_SD,G12,G25,4.89889,0.0238875,-0.101111,0.000239932,1,1
MARS,ar,2024-07-17T00:22:30,USER_IF_WL_SD,G12,G32,4.9678,0.0354993,-0.0321983,0.00192721,0,0
MARS,ar,2024-07-17T00:22:30,USER_IF_L1_SD_CONDITIONAL,G12,G24,237.497,2.65728,0.497204,0.830919,0,0
MARS,ar,2024-07-17T00:22:30,USER_IF_L1_SD_CONDITIONAL,G12,G25,138.946,6.37679,-0.0541462,0.887445,0,0
MARS,ar,2024-07-17T00:23:00,USER_IF_WL_SD,G12,G06,19.9624,0.116051,-0.0375565,0.190554,0,0
MARS,ar,2024-07-17T00:23:00,USER_IF_WL_SD,G12,G11,13.0652,0.451473,0.0651522,0.58115,0,0
MARS,ar,2024-07-17T00:23:00,USER_IF_WL_SD,G12,G19,19.9968,0.0815523,-0.00322679,0.0853271,0,0
MARS,ar,2024-07-17T00:23:00,USER_IF_WL_SD,G12,G24,-8.03461,0.0210921,-0.0346053,1.9302e-05,0,1
