station,mode,time,east_m,north_m,up_m,horizontal_m,error_3d_m,ambiguity_states,product_eligible_ambiguity_states,common_component_satellites,named_rank,wl_stage_selected,wl_stage_passed,l1_stage_selected,l1_stage_passed,newly_fixed,held_integer_rank,ar_summary_present
MARS,float,2024-07-17T00:03:00,-0.488747,0.29678,-1.91546,0.5717971654433065,1.998984494689491,7,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:03:30,-0.242396,0.438853,-0.13666,0.501345964803747,0.519638077920585,7,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:04:00,-0.327171,0.513653,-0.292114,0.6089993987271252,0.6754338284732265,7,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:04:30,-0.318628,0.63661,-0.197564,0.7118961261897694,0.7388014811706863,6,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:05:00,-0.233157,0.627928,-0.252346,0.6698177064194407,0.7157752884453332,7,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:05:30,-0.142172,0.653063,-0.210915,0.6683593042316385,0.7008489828615005,6,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:06:00,-0.0617046,0.6528,-0.147533,0.6557097663304704,0.6721021378854258,6,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:06:30,-0.0210189,0.579698,-0.0954395,0.5800789302855346,0.5878777623974732,6,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:07:00,-0.0062897,0.479761,-0.0913309,0.4798022274303132,0.4884173530310937,6,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:07:30,-0.0130997,0.398038,-0.143956,0.398253501659546,0.42347276361070735,6,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:08:00,-0.0447091,0.318974,-0.19419,0.32209209288464374,0.37610247592751894,6,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:08:30,-0.0857958,0.265025,-0.238437,0.27856627563766584,0.36667611442748765,6,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:09:00,-0.122561,0.23312,-0.269756,0.2633745111452511,0.37700720504653484,6,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:09:30,-0.150684,0.255266,-0.240652,0.2964226688564827,0.38181118856838125,6,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:10:00,-0.17526,0.269746,-0.221108,0.3216814761779111,0.390343079585126,6,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:10:30,-0.193857,0.287138,-0.200666,0.3464516813251164,0.40036934329316476,6,5,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:11:00,-0.215478,0.291246,-0.187575,0.3622913206247149,0.4079698293072663,6,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:11:30,-0.244521,0.280852,-0.16509,0.3723820153350588,0.40733656040797517,6,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:12:00,-0.268477,0.261092,-0.132393,0.3744982403069472,0.3972113271823955,7,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:12:30,-4.95095,-10.1938,-7.19475,11.332495944958461,13.423482853008007,7,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:13:00,-4.47707,-9.69415,-6.70822,10.67804757469267,12.610349542173683,7,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:13:30,-4.07012,-8.97778,-6.8277,9.857302396842657,11.990992362302629,7,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:14:00,-3.69178,-8.31804,-7.03697,9.100496085928503,11.503824398472883,7,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:14:30,-3.38225,-7.76033,-7.14796,8.46536099474795,11.07951573549133,7,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:15:00,-3.1672,-7.33069,-6.98733,7.985622813287639,10.610982623913772,7,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:15:30,-3.01205,-6.97822,-6.72842,7.6005262693381965,10.150844066741445,7,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:16:00,-2.87467,-6.66465,-6.43551,7.258187599628436,9.700364745281489,7,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:16:30,-2.78579,-6.49755,-6.29611,7.069567308301124,9.466772578798965,6,0,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:17:00,-2.70689,-6.32927,-6.14785,6.88381523611725,9.229462163501188,6,5,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:17:30,-2.63542,-6.15814,-6.01686,6.698367475437579,9.003928647851449,6,5,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:18:00,-2.55617,-5.92335,-5.75946,6.451362669343586,8.648205581679935,7,5,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:18:30,-2.4714,-5.68797,-5.55808,6.201678859865287,8.32784930022752,7,5,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:19:00,-2.40045,-5.53482,-5.45769,6.032942286720469,8.13527951400565,6,5,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:19:30,-2.33876,-5.4041,-5.33889,5.888471376138293,7.9484490046612235,6,5,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:20:00,-2.26017,-5.18391,-5.13001,5.655200378147533,7.635331945442844,7,5,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:20:30,-2.20138,-5.06998,-5.03552,5.527275197129233,7.477113933544145,6,6,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:21:00,-2.12641,-4.84824,-4.83654,5.294058045176686,7.170716125834295,7,5,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:21:30,-2.06081,-4.65342,-4.6313,5.089327613005474,6.8811478143184805,7,6,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:22:00,-2.01616,-4.55106,-4.52932,4.977654896555204,6.729917379255112,6,6,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:22:30,-1.97163,-4.43277,-4.41934,4.851471398431614,6.562571200787081,6,6,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:23:00,-1.91994,-4.2613,-4.20605,4.67384716198551,6.287742352871975,7,6,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:23:30,-1.87365,-4.12212,-4.07283,4.527961750821223,6.090187339138263,6,5,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:24:00,-1.82466,-3.9467,-3.8635,4.3480829115369914,5.816567480533515,7,5,,,0,False,0,False,0,,False
MARS,float,2024-07-17T00:24:30,-1.78712,-3.82527,-3.75267,4.222142639383469,5.648807006457204,6,5,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:03:00,-0.488747,0.29678,-1.91546,0.5717971654433065,1.998984494689491,7,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:03:30,-0.242396,0.438853,-0.13666,0.501345964803747,0.519638077920585,7,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:04:00,-0.327171,0.513653,-0.292114,0.6089993987271252,0.6754338284732265,7,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:04:30,-0.318628,0.63661,-0.197564,0.7118961261897694,0.7388014811706863,6,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:05:00,-0.233157,0.627928,-0.252346,0.6698177064194407,0.7157752884453332,7,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:05:30,-0.142172,0.653063,-0.210915,0.6683593042316385,0.7008489828615005,6,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:06:00,-0.0617046,0.6528,-0.147533,0.6557097663304704,0.6721021378854258,6,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:06:30,-0.0210189,0.579698,-0.0954395,0.5800789302855346,0.5878777623974732,6,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:07:00,-0.0062897,0.479761,-0.0913309,0.4798022274303132,0.4884173530310937,6,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:07:30,-0.0130997,0.398038,-0.143956,0.398253501659546,0.42347276361070735,6,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:08:00,-0.0447091,0.318974,-0.19419,0.32209209288464374,0.37610247592751894,6,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:08:30,-0.0857958,0.265025,-0.238437,0.27856627563766584,0.36667611442748765,6,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:09:00,-0.122561,0.23312,-0.269756,0.2633745111452511,0.37700720504653484,6,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:09:30,-0.150684,0.255266,-0.240652,0.2964226688564827,0.38181118856838125,6,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:10:00,-0.17526,0.269746,-0.221108,0.3216814761779111,0.390343079585126,6,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:10:30,-0.193857,0.287138,-0.200666,0.3464516813251164,0.40036934329316476,6,5,6,5,0,False,0,False,0,0,True
MARS,ar,2024-07-17T00:11:00,-0.215478,0.291246,-0.187575,0.3622913206247149,0.4079698293072663,6,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:11:30,-0.244521,0.280852,-0.16509,0.3723820153350588,0.40733656040797517,6,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:12:00,-0.268477,0.261092,-0.132393,0.3744982403069472,0.3972113271823955,7,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:12:30,-4.95095,-10.1938,-7.19475,11.332495944958461,13.423482853008007,7,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:13:00,-4.47707,-9.69415,-6.70822,10.67804757469267,12.610349542173683,7,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:13:30,-4.07012,-8.97778,-6.8277,9.857302396842657,11.990992362302629,7,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:14:00,-3.69178,-8.31804,-7.03697,9.100496085928503,11.503824398472883,7,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:14:30,-3.38225,-7.76033,-7.14796,8.46536099474795,11.07951573549133,7,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:15:00,-3.1672,-7.33069,-6.98733,7.985622813287639,10.610982623913772,7,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:15:30,-3.01205,-6.97822,-6.72842,7.6005262693381965,10.150844066741445,7,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:16:00,-2.87467,-6.66465,-6.43551,7.258187599628436,9.700364745281489,7,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:16:30,-2.78579,-6.49755,-6.29611,7.069567308301124,9.466772578798965,6,0,,,0,False,0,False,0,,False
MARS,ar,2024-07-17T00:17:00,-2.70689,-6.32927,-6.14785,6.88381523611725,9.229462163501188,6,5,6,5,0,False,0,False,0,0,True
MARS,ar,2024-07-17T00:17:30,-2.63542,-6.15814,-6.01686,6.698367475437579,9.003928647851449,6,5,6,5,0,False,0,False,0,0,True
MARS,ar,2024-07-17T00:18:00,-2.55617,-5.92335,-5.75946,6.451362669343586,8.648205581679935,7,5,6,5,0,False,0,False,0,0,True
MARS,ar,2024-07-17T00:18:30,-2.4714,-5.68797,-5.55808,6.201678859865287,8.32784930022752,7,5,6,5,0,False,0,False,0,0,True
MARS,ar,2024-07-17T00:19:00,-2.40045,-5.53482,-5.45769,6.032942286720469,8.13527951400565,6,5,6,5,0,False,0,False,0,0,True
MARS,ar,2024-07-17T00:19:30,-2.33876,-5.4041,-5.33889,5.888471376138293,7.9484490046612235,6,5,6,5,0,False,0,False,0,0,True
MARS,ar,2024-07-17T00:20:00,-2.26017,-5.18391,-5.13001,5.655200378147533,7.635331945442844,7,5,6,5,0,False,0,False,0,0,True
MARS,ar,2024-07-17T00:20:30,-2.20138,-5.06998,-5.03552,5.527275197129233,7.477113933544145,6,6,7,6,0,False,0,False,0,0,True
