station,mode,time,stage,selected,provisional_selected,joint_nis,joint_threshold,maximum_perr,reliability_gate,passed,feedback_flag_is_mode_only
MARS,ar,2024-07-17T00:10:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
MARS,ar,2024-07-17T00:17:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
MARS,ar,2024-07-17T00:17:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
MARS,ar,2024-07-17T00:18:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
MARS,ar,2024-07-17T00:18:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
MARS,ar,2024-07-17T00:19:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
MARS,ar,2024-07-17T00:19:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
MARS,ar,2024-07-17T00:20:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
MARS,ar,2024-07-17T00:20:30,USER_IF_WL_SD,0,1,0.00830633,23.9281,0.00131674,0,False,1
MARS,ar,2024-07-17T00:21:00,USER_IF_WL_SD,0,2,0.267354,27.631,0.0018046,0,False,1
MARS,ar,2024-07-17T00:21:30,USER_IF_WL_SD,0,2,0.364773,27.631,0.00101743,0,False,1
MARS,ar,2024-07-17T00:22:00,USER_IF_WL_SD,2,2,0.414657,27.631,0.000512595,1,True,1
MARS,ar,2024-07-17T00:22:00,USER_IF_L1_SD_CONDITIONAL,0,0,nan,nan,0,0,False,1
MARS,ar,2024-07-17T00:22:30,USER_IF_WL_SD,2,2,0.430225,27.631,0.000239932,1,True,1
MARS,ar,2024-07-17T00:22:30,USER_IF_L1_SD_CONDITIONAL,0,0,nan,nan,0,0,False,1
MARS,ar,2024-07-17T00:23:00,USER_IF_WL_SD,0,3,0.448553,30.6648,0.00108564,0,False,1
MARS,ar,2024-07-17T00:23:00,USER_IF_L1_SD_CONDITIONAL,0,0,nan,nan,0,0,False,1
MARS,ar,2024-07-17T00:23:30,USER_IF_WL_SD,3,3,0.489333,30.6648,0.000629559,1,True,1
MARS,ar,2024-07-17T00:23:30,USER_IF_L1_SD_CONDITIONAL,0,0,nan,nan,0,0,False,1
MARS,ar,2024-07-17T00:24:00,USER_IF_WL_SD,3,3,0.58433,30.6648,0.000372154,1,True,1
MARS,ar,2024-07-17T00:24:00,USER_IF_L1_SD_CONDITIONAL,0,0,nan,nan,0,0,False,1
MARS,ar,2024-07-17T00:24:30,USER_IF_WL_SD,3,3,0.73021,30.6648,0.000222561,1,True,1
MARS,ar,2024-07-17T00:24:30,USER_IF_L1_SD_CONDITIONAL,0,0,nan,nan,0,0,False,1
DYNG,ar,2024-07-17T00:10:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
DYNG,ar,2024-07-17T00:17:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
DYNG,ar,2024-07-17T00:17:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
DYNG,ar,2024-07-17T00:18:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
DYNG,ar,2024-07-17T00:18:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
DYNG,ar,2024-07-17T00:19:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
DYNG,ar,2024-07-17T00:19:30,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
DYNG,ar,2024-07-17T00:20:00,USER_IF_WL_SD,0,0,nan,nan,0,0,False,1
