station,model,mode,completed,epochs,wl_passed_epochs,l1_passed_epochs,newly_fixed_total,held_integer_rank_peak,general_rows_total,named_recovered_total,integer_factor_commits,integer_factor_rows,integer_factor_l1_rows,matched_epochs,float_matched_3d_rms_m,test_matched_3d_rms_m,max_position_difference_m_trace_precision
DYNG,IF,round_shadow,True,55,17,0,0,0,0,0,0,0,0,55,0.8144683858467285,0.8144683858467285,0.0
DYNG,IF,round_feedback,True,55,17,0,0,0,0,0,0,0,0,55,0.8144683858467285,0.8144683858467285,0.0
DYNG,IF,ils_shadow,False,15,0,0,0,0,0,0,0,0,0,15,1.1213055356133061,1.1213055356133061,0.0
DYNG,IF,ils_feedback,False,15,0,0,0,0,0,0,0,0,0,15,1.1213055356133061,1.1213055356133061,0.0
NICO,IF,round_shadow,True,55,15,0,0,0,0,0,0,0,0,55,1.445754852131972,1.445754852131972,0.0
NICO,IF,round_feedback,True,55,15,0,0,0,0,0,0,0,0,55,1.445754852131972,1.445754852131972,0.0
NICO,IF,ils_shadow,False,15,0,0,0,0,0,0,0,0,0,15,2.6151110809007823,2.6151110809007823,0.0
NICO,IF,ils_feedback,False,15,0,0,0,0,0,0,0,0,0,15,2.6151110809007823,2.6151110809007823,0.0
BREW,IF,round_shadow,True,55,0,0,0,0,0,0,0,0,0,55,2.6357260057770264,2.6357260057770264,0.0
BREW,IF,round_feedback,True,55,0,0,0,0,0,0,0,0,0,55,2.6357260057770264,2.6357260057770264,0.0
BREW,IF,ils_shadow,False,14,0,0,0,0,0,0,0,0,0,14,0.7878534287398383,0.7878534287398383,0.0
BREW,IF,ils_feedback,False,14,0,0,0,0,0,0,0,0,0,14,0.7878534287398383,0.7878534287398383,0.0
MARS,IF,round_shadow,True,55,15,0,0,0,0,0,0,0,0,55,6.440159130814884,6.440159130814884,0.0
MARS,IF,round_feedback,True,55,15,0,0,0,0,0,0,0,0,55,6.440159130814884,6.440159130814884,0.0
MARS,IF,ils_shadow,False,15,0,0,0,0,0,0,0,0,0,15,0.7395003446763403,0.7395003446763403,0.0
MARS,IF,ils_feedback,False,15,0,0,0,0,0,0,0,0,0,15,0.7395003446763403,0.7395003446763403,0.0
JPLM,IF,round_shadow,True,55,0,0,0,0,0,0,0,0,0,55,1.7640057239493594,1.7640057239493594,0.0
JPLM,IF,round_feedback,True,55,0,0,0,0,0,0,0,0,0,55,1.7640057239493594,1.7640057239493594,0.0
JPLM,IF,ils_shadow,False,14,0,0,0,0,0,0,0,0,0,14,1.6598660860600858,1.6598660860600858,0.0
JPLM,IF,ils_feedback,False,14,0,0,0,0,0,0,0,0,0,14,1.6598660860600858,1.6598660860600858,0.0
DYNG,UDUC,round_shadow,True,55,19,0,0,0,0,0,0,0,0,55,0.6426030521264907,0.6426030521264907,0.0
DYNG,UDUC,round_feedback,False,29,1,0,3,3,0,0,0,0,0,29,0.6841375877441633,0.682746650217257,0.053163408355747864
DYNG,UDUC,ils_shadow,False,15,0,0,0,0,0,0,0,0,0,15,0.6697150114563447,0.6697150114563447,0.0
DYNG,UDUC,ils_feedback,False,15,0,0,0,0,0,0,0,0,0,15,0.6697150114563447,0.6697150114563447,0.0
NICO,UDUC,round_shadow,True,55,22,0,0,0,0,0,0,0,0,55,0.34874662522429695,0.34874662522429695,0.0
NICO,UDUC,round_feedback,False,33,1,0,3,3,0,0,0,0,0,33,0.4234540589465743,0.42355786797565187,0.009358948929233472
NICO,UDUC,ils_shadow,False,15,0,0,0,0,0,0,0,0,0,15,0.5756250093387807,0.5756250093387807,0.0
NICO,UDUC,ils_feedback,False,15,0,0,0,0,0,0,0,0,0,15,0.5756250093387807,0.5756250093387807,0.0
BREW,UDUC,round_shadow,True,55,19,5,0,0,0,0,0,0,0,55,0.28260719134839973,0.28260719134839973,0.0
BREW,UDUC,round_feedback,False,36,1,0,2,2,0,0,0,0,0,36,0.33188634951850615,0.3318882647679617,0.0003320296522902772
BREW,UDUC,ils_shadow,False,17,0,0,0,0,0,0,0,0,0,17,0.46940762284939386,0.46940762284939386,0.0
BREW,UDUC,ils_feedback,False,17,0,0,0,0,0,0,0,0,0,17,0.46940762284939386,0.46940762284939386,0.0
MARS,UDUC,round_shadow,True,55,21,0,0,0,0,0,0,0,0,55,0.3850299004159496,0.3850299004159496,0.0
MARS,UDUC,round_feedback,False,16,1,0,1,1,0,0,0,0,0,16,0.6214270615044526,0.6219312301594454,0.04228488246011334
MARS,UDUC,ils_shadow,False,15,0,0,0,0,1,1,0,0,0,15,0.6398671571763362,0.6398671571763362,0.0
MARS,UDUC,ils_feedback,False,15,0,0,0,0,1,1,0,0,0,15,0.6398671571763362,0.6398671571763362,0.0
JPLM,UDUC,round_shadow,True,55,37,0,0,0,0,0,0,0,0,55,0.7153998045899632,0.7153998045899632,0.0
JPLM,UDUC,round_feedback,False,19,1,0,1,1,0,0,0,0,0,19,1.152139127885112,1.1521374846015773,0.0005795547946484387
JPLM,UDUC,ils_shadow,False,17,0,0,0,0,0,0,0,0,0,17,1.2112139249759077,1.2112139249759077,0.0
JPLM,UDUC,ils_feedback,False,17,0,0,0,0,0,0,0,0,0,17,1.2112139249759077,1.2112139249759077,0.0
