case,station,model,mode,time,receiver,system,stage,candidates,provisional_selected,selected,joint_nis,joint_threshold,joint_rank,maximum_perr,reliability_gate,feedback,passed
r48u_20260914_DYNG_IF_round_shadow,DYNG,IF,round_shadow,2024-07-17T00:10:30,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow,DYNG,IF,round_shadow,2024-07-17T00:17:00,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow,DYNG,IF,round_shadow,2024-07-17T00:17:30,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow,DYNG,IF,round_shadow,2024-07-17T00:18:00,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow,DYNG,IF,round_shadow,2024-07-17T00:18:30,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow,DYNG,IF,round_shadow,2024-07-17T00:19:00,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow,DYNG,IF,round_shadow,2024-07-17T00:19:30,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow,DYNG,IF,round_shadow,2024-07-17T00:20:00,DYNG,GPS,USER_IF_WL_SD,5,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow,DYNG,IF,round_shadow,2024-07-17T00:20:30,DYNG,GPS,USER_IF_WL_SD,6,1,1,0.0238616,23.9281,1,0.000889138,1,0,True
r48u_20260914_DYNG_IF_round_shadow,DYNG,IF,round_shadow,2024-07-17T00:20:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,1,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow,DYNG,IF,round_shadow,2024-07-17T00:21:00,DYNG,GPS,USER_IF_WL_SD,5,1,1,0.0375849,23.9281,1,0.000364092,1,0,True
r48u_20260914_DYNG_IF_round_shadow,DYNG,IF,round_shadow,2024-07-17T00:21:00,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,1,0,0,nan,nan,0,0,0,0,False
r48u_20260914_DYNG_IF_round_shadow,DYNG,IF,round_shadow,2024-07-17T00:21:30,DYNG,GPS,USER_IF_WL_SD,6,1,1,0.0414835,23.9281,1,0.000141768,1,0,True
r48u_20260914_DYNG_IF_round_shadow,DYNG,IF,round_shadow,2024-07-17T00:21:30,DYNG,GPS,USER_IF_L1_SD_CONDITIONAL,1,0,0,nan,nan,0,0,0,0,False
