case,station,model,mode,completed,epochs,exit_code,wall_seconds,ar_attempt_epochs,wl_passed_epochs,l1_passed_epochs,reported_newly_fixed_sum,held_integer_rank_peak,newly_fixed_epochs,rms_3d_m,final_enu_m,effective_search,general_rows_total,named_recovered_total,reference_difference_m,errors,alarms,trace,integer_factor_commits,integer_factor_rows,integer_factor_l1_rows,held_positive_epochs
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,True,55,0,11.675216228002682,0,0,0,0,0,0,0.8144683858467285,"[0.138028, 0.242021, 0.45892]",[],0,0,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_IF_float_fix1/Network-r48u_20260914_DYNG_IF_float_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,True,55,0,10.763948134961538,27,17,0,0,0,0,0.8144683858467285,"[0.138028, 0.242021, 0.45892]",['ROUND'],0,0,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_IF_round_shadow_fix1/Network-r48u_20260914_DYNG_IF_round_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,True,55,0,10.850357623072341,27,17,0,0,0,0,0.8144683858467285,"[0.138028, 0.242021, 0.45892]",['ROUND'],0,0,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_IF_round_feedback_fix1/Network-r48u_20260914_DYNG_IF_round_feedback_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,True,55,0,10.828548723948188,27,15,0,0,0,0,0.8144683858467285,"[0.138028, 0.242021, 0.45892]",['LAMBDA_ALT'],29,29,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_IF_ils_shadow_fix1/Network-r48u_20260914_DYNG_IF_ils_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_DYNG_IF_ils_feedback_fix1,DYNG,IF,ils_feedback,True,55,0,10.33466671698261,27,15,0,0,0,0,0.8144683858467285,"[0.138028, 0.242021, 0.45892]",['LAMBDA_ALT'],29,29,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_IF_ils_feedback_fix1/Network-r48u_20260914_DYNG_IF_ils_feedback_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_NICO_IF_float_fix1,NICO,IF,float,True,55,0,10.53453411301598,0,0,0,0,0,0,1.445754852131972,"[0.297246, -0.0548781, -0.18726]",[],0,0,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_IF_float_fix1/Network-r48u_20260914_NICO_IF_float_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_NICO_IF_round_shadow_fix1,NICO,IF,round_shadow,True,55,0,10.843819413916208,27,15,0,0,0,0,1.445754852131972,"[0.297246, -0.0548781, -0.18726]",['ROUND'],0,0,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_IF_round_shadow_fix1/Network-r48u_20260914_NICO_IF_round_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_NICO_IF_round_feedback_fix1,NICO,IF,round_feedback,True,55,0,10.817689282004721,27,15,0,0,0,0,1.445754852131972,"[0.297246, -0.0548781, -0.18726]",['ROUND'],0,0,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_IF_round_feedback_fix1/Network-r48u_20260914_NICO_IF_round_feedback_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_NICO_IF_ils_shadow_fix1,NICO,IF,ils_shadow,True,55,0,11.13009411294479,27,14,0,0,0,0,1.445754852131972,"[0.297246, -0.0548781, -0.18726]",['LAMBDA_ALT'],28,28,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_IF_ils_shadow_fix1/Network-r48u_20260914_NICO_IF_ils_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_NICO_IF_ils_feedback_fix1,NICO,IF,ils_feedback,True,55,0,10.884041589917615,27,14,0,0,0,0,1.445754852131972,"[0.297246, -0.0548781, -0.18726]",['LAMBDA_ALT'],28,28,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_IF_ils_feedback_fix1/Network-r48u_20260914_NICO_IF_ils_feedback_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_BREW_IF_float_fix1,BREW,IF,float,True,55,0,10.643162542954087,0,0,0,0,0,0,2.6357260057770264,"[0.0649174, -0.179526, -1.4716]",[],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_IF_float_fix1/Network-r48u_20260914_BREW_IF_float_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_BREW_IF_round_shadow_fix1,BREW,IF,round_shadow,True,55,0,10.758051367942244,41,0,0,0,0,0,2.6357260057770264,"[0.0649174, -0.179526, -1.4716]",['ROUND'],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_IF_round_shadow_fix1/Network-r48u_20260914_BREW_IF_round_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_BREW_IF_round_feedback_fix1,BREW,IF,round_feedback,True,55,0,10.849573794053867,41,0,0,0,0,0,2.6357260057770264,"[0.0649174, -0.179526, -1.4716]",['ROUND'],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_IF_round_feedback_fix1/Network-r48u_20260914_BREW_IF_round_feedback_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_BREW_IF_ils_shadow_fix1,BREW,IF,ils_shadow,True,55,0,11.453339410945773,41,3,0,0,0,0,2.6357260057770264,"[0.0649174, -0.179526, -1.4716]",['LAMBDA_ALT'],22,22,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_IF_ils_shadow_fix1/Network-r48u_20260914_BREW_IF_ils_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_BREW_IF_ils_feedback_fix1,BREW,IF,ils_feedback,True,55,0,11.50790441792924,41,3,0,0,0,0,2.6357260057770264,"[0.0649174, -0.179526, -1.4716]",['LAMBDA_ALT'],22,22,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_IF_ils_feedback_fix1/Network-r48u_20260914_BREW_IF_ils_feedback_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_MARS_IF_float_fix1,MARS,IF,float,True,55,0,11.565747691085562,0,0,0,0,0,0,6.440159130814884,"[-1.49591, -2.85783, -2.81348]",[],0,0,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_IF_float_fix1/Network-r48u_20260914_MARS_IF_float_fix1-202419900.TRACE,0,0,0,0
