case,station,model,mode,time,provenance,rows,before_commit_sequence,after_commit_sequence,status,map,independent_observation
r48u_20260914_DYNG_UDUC_round_feedback_fix1,DYNG,UDUC,round_feedback,2024-07-17T00:17:00,USER_WL_SD,3,88,89,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_DYNG_UDUC_ils_feedback_fix1,DYNG,UDUC,ils_feedback,2024-07-17T00:17:00,USER_WL_SD,3,88,89,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_NICO_UDUC_round_feedback_fix1,NICO,UDUC,round_feedback,2024-07-17T00:19:00,USER_WL_SD,3,100,101,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_NICO_UDUC_ils_feedback_fix1,NICO,UDUC,ils_feedback,2024-07-17T00:17:00,USER_WL_SD,2,88,89,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_NICO_UDUC_ils_feedback_fix1,NICO,UDUC,ils_feedback,2024-07-17T00:20:00,USER_WL_SD,1,107,108,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_NICO_UDUC_ils_feedback_fix1,NICO,UDUC,ils_feedback,2024-07-17T00:20:30,USER_WL_SD,1,111,112,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_BREW_UDUC_round_feedback_fix1,BREW,UDUC,round_feedback,2024-07-17T00:20:30,USER_WL_SD,2,109,110,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_BREW_UDUC_round_feedback_fix1,BREW,UDUC,round_feedback,2024-07-17T00:23:00,USER_L1_SD_CONDITIONAL,1,125,126,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_BREW_UDUC_ils_feedback_fix1,BREW,UDUC,ils_feedback,2024-07-17T00:17:00,USER_WL_SD,1,88,89,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_BREW_UDUC_ils_feedback_fix1,BREW,UDUC,ils_feedback,2024-07-17T00:25:00,USER_WL_SD,1,137,138,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_BREW_UDUC_ils_feedback_fix1,BREW,UDUC,ils_feedback,2024-07-17T00:25:00,USER_L1_SD_CONDITIONAL,1,138,139,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_MARS_UDUC_round_feedback_fix1,MARS,UDUC,round_feedback,2024-07-17T00:10:30,USER_WL_SD,1,49,50,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_MARS_UDUC_ils_feedback_fix1,MARS,UDUC,ils_feedback,2024-07-17T00:10:30,USER_WL_SD,1,49,50,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_JPLM_UDUC_round_feedback_fix1,JPLM,UDUC,round_feedback,2024-07-17T00:12:00,USER_WL_SD,1,58,59,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_JPLM_UDUC_round_feedback_fix1,JPLM,UDUC,round_feedback,2024-07-17T00:17:00,USER_WL_SD,1,89,90,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_JPLM_UDUC_ils_feedback_fix1,JPLM,UDUC,ils_feedback,2024-07-17T00:16:00,USER_WL_SD,1,82,83,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
r48u_20260914_JPLM_UDUC_ils_feedback_fix1,JPLM,UDUC,ils_feedback,2024-07-17T00:17:00,USER_WL_SD,1,89,90,COMMITTED,EXACT_CONDITIONAL_MOMENTS,0
