case,station,model,mode,time,receiver,system,stage,reference,satellite,mean,variance,fractional,perr,provisional_selected,selected,feedback
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:10:30,DYNG,GPS,USER_IF_WL_SD,G24,G06,-4.00139,0.618646,-0.00139116,0.641348,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:10:30,DYNG,GPS,USER_IF_WL_SD,G24,G12,-28.0111,0.265132,-0.0110985,0.452241,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:10:30,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.7283,0.562662,-0.271706,0.636063,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:10:30,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0412029,0.512481,0.0412029,0.606272,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:10:30,DYNG,GPS,USER_IF_WL_SD,G24,G32,-11.5936,1.25197,0.406423,0.756066,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:17:00,DYNG,GPS,USER_IF_WL_SD,G24,G06,-3.84493,0.593185,0.155069,0.637424,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:17:00,DYNG,GPS,USER_IF_WL_SD,G24,G12,-28.0222,0.255494,-0.0221524,0.442224,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:17:00,DYNG,GPS,USER_IF_WL_SD,G24,G19,30.9236,0.621399,-0.0763761,0.642982,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:17:00,DYNG,GPS,USER_IF_WL_SD,G24,G25,0.0439855,0.459917,0.0439855,0.584473,0,0,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:17:00,DYNG,GPS,USER_IF_WL_SD,G24,G32,-10.9707,1.09061,0.0293495,0.729932,0,0,0
