station,model,mode,completed,epochs,wl_passed_epochs,l1_passed_epochs,reported_newly_fixed_sum,held_integer_rank_peak,general_rows_total,named_recovered_total,integer_factor_commits,integer_factor_rows,integer_factor_l1_rows,matched_epochs,float_matched_3d_rms_m,test_matched_3d_rms_m,max_position_difference_m_trace_precision
DYNG,IF,round_shadow,True,55,17,0,0,0,0,0,0,0,0,55,0.8144683858467285,0.8144683858467285,0.0
DYNG,IF,round_feedback,True,55,17,0,0,0,0,0,0,0,0,55,0.8144683858467285,0.8144683858467285,0.0
DYNG,IF,ils_shadow,True,55,15,0,0,0,29,29,0,0,0,55,0.8144683858467285,0.8144683858467285,0.0
DYNG,IF,ils_feedback,True,55,15,0,0,0,29,29,0,0,0,55,0.8144683858467285,0.8144683858467285,0.0
NICO,IF,round_shadow,True,55,15,0,0,0,0,0,0,0,0,55,1.445754852131972,1.445754852131972,0.0
NICO,IF,round_feedback,True,55,15,0,0,0,0,0,0,0,0,55,1.445754852131972,1.445754852131972,0.0
NICO,IF,ils_shadow,True,55,14,0,0,0,28,28,0,0,0,55,1.445754852131972,1.445754852131972,0.0
NICO,IF,ils_feedback,True,55,14,0,0,0,28,28,0,0,0,55,1.445754852131972,1.445754852131972,0.0
BREW,IF,round_shadow,True,55,0,0,0,0,0,0,0,0,0,55,2.6357260057770264,2.6357260057770264,0.0
BREW,IF,round_feedback,True,55,0,0,0,0,0,0,0,0,0,55,2.6357260057770264,2.6357260057770264,0.0
BREW,IF,ils_shadow,True,55,3,0,0,0,22,22,0,0,0,55,2.6357260057770264,2.6357260057770264,0.0
BREW,IF,ils_feedback,True,55,3,0,0,0,22,22,0,0,0,55,2.6357260057770264,2.6357260057770264,0.0
MARS,IF,round_shadow,True,55,15,0,0,0,0,0,0,0,0,55,6.440159130814884,6.440159130814884,0.0
MARS,IF,round_feedback,True,55,15,0,0,0,0,0,0,0,0,55,6.440159130814884,6.440159130814884,0.0
MARS,IF,ils_shadow,True,55,15,0,0,0,40,40,0,0,0,55,6.440159130814884,6.440159130814884,0.0
MARS,IF,ils_feedback,True,55,15,0,0,0,40,40,0,0,0,55,6.440159130814884,6.440159130814884,0.0
JPLM,IF,round_shadow,True,55,0,0,0,0,0,0,0,0,0,55,1.7640057239493594,1.7640057239493594,0.0
JPLM,IF,round_feedback,True,55,0,0,0,0,0,0,0,0,0,55,1.7640057239493594,1.7640057239493594,0.0
JPLM,IF,ils_shadow,True,55,11,0,0,0,24,24,0,0,0,55,1.7640057239493594,1.7640057239493594,0.0
JPLM,IF,ils_feedback,True,55,11,0,0,0,24,24,0,0,0,55,1.7640057239493594,1.7640057239493594,0.0
DYNG,UDUC,round_shadow,True,55,19,0,0,0,0,0,0,0,0,55,0.6426030521264907,0.6426030521264907,0.0
DYNG,UDUC,round_feedback,True,55,1,0,12,3,0,0,1,3,0,55,0.6426030521264907,0.6266824835860754,0.053163408355747864
DYNG,UDUC,ils_shadow,True,55,26,0,0,0,114,100,0,0,0,55,0.6426030521264907,0.6426030521264907,0.0
DYNG,UDUC,ils_feedback,True,55,1,0,12,3,3,3,1,3,0,55,0.6426030521264907,0.6266824835860754,0.053163408355747864
NICO,UDUC,round_shadow,True,55,22,0,0,0,0,0,0,0,0,55,0.34874662522429695,0.34874662522429695,0.0
NICO,UDUC,round_feedback,True,55,1,0,66,3,0,0,1,3,0,55,0.34874662522429695,0.34926016307969243,0.009358948929233472
NICO,UDUC,ils_shadow,True,55,25,0,0,0,98,84,0,0,0,55,0.34874662522429695,0.34874662522429695,0.0
NICO,UDUC,ils_feedback,True,55,3,0,55,4,16,5,3,4,0,55,0.34874662522429695,0.34984347222232626,0.023710266140429544
BREW,UDUC,round_shadow,True,55,19,5,0,0,0,0,0,0,0,55,0.28260719134839973,0.28260719134839973,0.0
BREW,UDUC,round_feedback,True,55,1,1,13,3,0,0,2,3,1,55,0.28260719134839973,0.27934171907611394,0.036679203941743344
BREW,UDUC,ils_shadow,True,55,26,4,0,0,51,42,0,0,0,55,0.28260719134839973,0.28260719134839973,0.0
BREW,UDUC,ils_feedback,True,55,2,1,18,3,3,3,3,3,1,55,0.28260719134839973,0.28077142880692413,0.03424057430855388
MARS,UDUC,round_shadow,True,55,21,0,0,0,0,0,0,0,0,55,0.3850299004159496,0.3850299004159496,0.0
MARS,UDUC,round_feedback,True,55,1,0,27,1,0,0,1,1,0,55,0.3850299004159496,0.37977287534897997,0.04329077593220639
MARS,UDUC,ils_shadow,True,55,27,0,0,0,77,77,0,0,0,55,0.3850299004159496,0.3850299004159496,0.0
MARS,UDUC,ils_feedback,True,55,1,0,27,1,1,1,1,1,0,55,0.3850299004159496,0.37977287534897997,0.04329077593220639
JPLM,UDUC,round_shadow,True,55,37,0,0,0,0,0,0,0,0,55,0.7153998045899632,0.7153998045899632,0.0
JPLM,UDUC,round_feedback,True,55,2,0,11,2,0,0,2,2,0,55,0.7153998045899632,0.7153701755842298,0.0019274300921174956
JPLM,UDUC,ils_shadow,True,55,29,0,0,0,52,52,0,0,0,55,0.7153998045899632,0.7153998045899632,0.0
JPLM,UDUC,ils_feedback,True,55,2,0,3,2,2,2,2,2,0,55,0.7153998045899632,0.7153832788276464,0.0005144741116907612
