case,station,model,mode,time,east_m,north_m,up_m,error_3d_m,ambiguities,integer_valid_ambiguities,wl_selected,wl_passed,l1_selected,l1_passed,newly_fixed,held_integer_rank
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:03:00,-0.168548,0.945416,-2.18773,2.3892221316277817,7,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:03:30,0.445791,0.0166159,0.739088,0.8632825583537582,6,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:04:00,0.629432,0.269668,-1.28896,1.4595627271371383,5,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:04:30,0.567457,0.512161,-0.999736,1.25848655394724,6,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:05:00,0.480946,0.338872,-0.774976,0.9730010729058833,6,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:05:30,0.49048,0.318084,-0.502682,0.7709975710597278,6,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:06:00,0.541855,0.375535,-0.35817,0.7502793654033143,6,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:06:30,0.546103,0.380035,-0.571478,0.8770645314445227,5,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:07:00,0.488763,0.660244,-0.363173,0.8981681566577608,6,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:07:30,0.444349,0.714412,-0.351568,0.9118281626320829,6,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:08:00,0.439671,0.676578,-0.390651,0.8964801069326637,5,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:08:30,0.493849,0.705238,-0.191789,0.8820603675293432,6,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:09:00,0.536831,0.725929,0.0029072,0.9028670375054346,6,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:09:30,0.526574,0.745461,0.121845,0.9207814529094296,6,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:10:00,0.498471,0.800192,0.217208,0.9674502002527056,6,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:10:30,0.490427,0.820761,0.238116,0.9853255760945211,6,5,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:11:00,0.466052,0.786297,0.238696,0.9446921293887233,6,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:11:30,0.464658,0.740766,0.256062,0.9111580936171285,6,0,0,False,0,False,0,0
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,2024-07-17T00:12:00,0.456367,0.698471,0.277145,0.8791711594194841,6,0,0,False,0,False,0,0
