case,station,model,mode,epochs,dual_products_min,dual_products_max,ar_min,ar_max,ar_mean,ar_satellite_epochs,ar_unique_satellites,ar_positive_epochs,first_ar_epoch,last_ar_count,last_ar_satellites,runtime_ar_mean_excluding_reference,runtime_ar_max_excluding_reference,search_common_max
r48u_20260914_DYNG_IF_float_fix1,DYNG,IF,float,55,6,8,0,7,3.6,198,7,38,2024-07-17T00:10:30,7,G06;G11;G12;G19;G24;G25;G32,2.672727272727273,6,0
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,55,6,8,0,7,3.6,198,7,38,2024-07-17T00:10:30,7,G06;G11;G12;G19;G24;G25;G32,2.672727272727273,6,7
r48u_20260914_DYNG_IF_round_feedback_fix1,DYNG,IF,round_feedback,55,6,8,0,7,3.6,198,7,38,2024-07-17T00:10:30,7,G06;G11;G12;G19;G24;G25;G32,2.672727272727273,6,7
r48u_20260914_DYNG_IF_ils_shadow_fix1,DYNG,IF,ils_shadow,55,6,8,0,7,3.6,198,7,38,2024-07-17T00:10:30,7,G06;G11;G12;G19;G24;G25;G32,2.672727272727273,6,7
r48u_20260914_DYNG_IF_ils_feedback_fix1,DYNG,IF,ils_feedback,55,6,8,0,7,3.6,198,7,38,2024-07-17T00:10:30,7,G06;G11;G12;G19;G24;G25;G32,2.672727272727273,6,7
r48u_20260914_NICO_IF_float_fix1,NICO,IF,float,55,7,9,0,7,3.7454545454545456,206,9,39,2024-07-17T00:10:30,7,G06;G11;G12;G19;G24;G25;G32,2.890909090909091,8,0
r48u_20260914_NICO_IF_round_shadow_fix1,NICO,IF,round_shadow,55,7,9,0,7,3.7454545454545456,206,9,39,2024-07-17T00:10:30,7,G06;G11;G12;G19;G24;G25;G32,2.890909090909091,8,7
r48u_20260914_NICO_IF_round_feedback_fix1,NICO,IF,round_feedback,55,7,9,0,7,3.7454545454545456,206,9,39,2024-07-17T00:10:30,7,G06;G11;G12;G19;G24;G25;G32,2.890909090909091,8,7
r48u_20260914_NICO_IF_ils_shadow_fix1,NICO,IF,ils_shadow,55,7,9,0,7,3.7454545454545456,206,9,39,2024-07-17T00:10:30,7,G06;G11;G12;G19;G24;G25;G32,2.890909090909091,8,7
r48u_20260914_NICO_IF_ils_feedback_fix1,NICO,IF,ils_feedback,55,7,9,0,7,3.7454545454545456,206,9,39,2024-07-17T00:10:30,7,G06;G11;G12;G19;G24;G25;G32,2.890909090909091,8,7
r48u_20260914_BREW_IF_float_fix1,BREW,IF,float,55,9,9,0,9,4.890909090909091,269,9,41,2024-07-17T00:10:00,7,G02;G10;G21;G25;G28;G31;G32,2.4545454545454546,5,0
r48u_20260914_BREW_IF_round_shadow_fix1,BREW,IF,round_shadow,55,9,9,0,9,4.890909090909091,269,9,41,2024-07-17T00:10:00,7,G02;G10;G21;G25;G28;G31;G32,2.4545454545454546,5,6
r48u_20260914_BREW_IF_round_feedback_fix1,BREW,IF,round_feedback,55,9,9,0,9,4.890909090909091,269,9,41,2024-07-17T00:10:00,7,G02;G10;G21;G25;G28;G31;G32,2.4545454545454546,5,6
r48u_20260914_BREW_IF_ils_shadow_fix1,BREW,IF,ils_shadow,55,9,9,0,9,4.890909090909091,269,9,41,2024-07-17T00:10:00,7,G02;G10;G21;G25;G28;G31;G32,2.4545454545454546,5,6
r48u_20260914_BREW_IF_ils_feedback_fix1,BREW,IF,ils_feedback,55,9,9,0,9,4.890909090909091,269,9,41,2024-07-17T00:10:00,7,G02;G10;G21;G25;G28;G31;G32,2.4545454545454546,5,6
r48u_20260914_MARS_IF_float_fix1,MARS,IF,float,55,7,9,0,8,3.8181818181818183,210,9,38,2024-07-17T00:10:30,8,G06;G11;G12;G19;G24;G25;G28;G32,2.709090909090909,7,0
r48u_20260914_MARS_IF_round_shadow_fix1,MARS,IF,round_shadow,55,7,9,0,8,3.8181818181818183,210,9,38,2024-07-17T00:10:30,8,G06;G11;G12;G19;G24;G25;G28;G32,2.709090909090909,7,8
r48u_20260914_MARS_IF_round_feedback_fix1,MARS,IF,round_feedback,55,7,9,0,8,3.8181818181818183,210,9,38,2024-07-17T00:10:30,8,G06;G11;G12;G19;G24;G25;G28;G32,2.709090909090909,7,8
r48u_20260914_MARS_IF_ils_shadow_fix1,MARS,IF,ils_shadow,55,7,9,0,8,3.8181818181818183,210,9,38,2024-07-17T00:10:30,8,G06;G11;G12;G19;G24;G25;G28;G32,2.709090909090909,7,8
r48u_20260914_MARS_IF_ils_feedback_fix1,MARS,IF,ils_feedback,55,7,9,0,8,3.8181818181818183,210,9,38,2024-07-17T00:10:30,8,G06;G11;G12;G19;G24;G25;G28;G32,2.709090909090909,7,8
r48u_20260914_JPLM_IF_float_fix1,JPLM,IF,float,55,7,8,0,8,4.654545454545454,256,8,41,2024-07-17T00:10:00,7,G02;G10;G21;G26;G28;G31;G32,2.2363636363636363,4,0
r48u_20260914_JPLM_IF_round_shadow_fix1,JPLM,IF,round_shadow,55,7,8,0,8,4.654545454545454,256,8,41,2024-07-17T00:10:00,7,G02;G10;G21;G26;G28;G31;G32,2.2363636363636363,4,5
r48u_20260914_JPLM_IF_round_feedback_fix1,JPLM,IF,round_feedback,55,7,8,0,8,4.654545454545454,256,8,41,2024-07-17T00:10:00,7,G02;G10;G21;G26;G28;G31;G32,2.2363636363636363,4,5
r48u_20260914_JPLM_IF_ils_shadow_fix1,JPLM,IF,ils_shadow,55,7,8,0,8,4.654545454545454,256,8,41,2024-07-17T00:10:00,7,G02;G10;G21;G26;G28;G31;G32,2.2363636363636363,4,5
r48u_20260914_JPLM_IF_ils_feedback_fix1,JPLM,IF,ils_feedback,55,7,8,0,8,4.654545454545454,256,8,41,2024-07-17T00:10:00,7,G02;G10;G21;G26;G28;G31;G32,2.2363636363636363,4,5
r48u_20260914_DYNG_UDUC_float_fix1,DYNG,UDUC,float,55,6,8,0,7,3.6,198,7,38,2024-07-17T00:10:30,7,G06;G11;G12;G19;G24;G25;G32,2.672727272727273,6,0
r48u_20260914_DYNG_UDUC_round_shadow_fix1,DYNG,UDUC,round_shadow,55,6,8,0,7,3.6,198,7,38,2024-07-17T00:10:30,7,G06;G11;G12;G19;G24;G25;G32,2.672727272727273,6,6
r48u_20260914_DYNG_UDUC_round_feedback_fix1,DYNG,UDUC,round_feedback,55,6,8,0,7,3.6,198,7,38,2024-07-17T00:10:30,7,G06;G11;G12;G19;G24;G25;G32,2.672727272727273,6,6
