time,MARS_IF,MARS_UDUC,DYNG_IF,DYNG_UDUC,NICO_IF,NICO_UDUC,BREW_IF,BREW_UDUC,JPLM_IF,JPLM_UDUC
2024-07-17T00:03:00,0,0,0,0,0,0,0,0,0,0
2024-07-17T00:03:30,0,0,0,0,0,0,0,0,0,0
2024-07-17T00:04:00,0,0,0,0,0,0,0,0,0,0
2024-07-17T00:04:30,0,0,0,0,0,0,0,0,0,0
2024-07-17T00:05:00,0,0,0,0,0,0,0,0,0,0
2024-07-17T00:05:30,0,0,0,0,0,0,0,0,0,0
2024-07-17T00:06:00,0,0,0,0,0,0,0,0,0,0
2024-07-17T00:06:30,0,0,0,0,0,0,0,0,0,0
2024-07-17T00:07:00,0,0,0,0,0,0,0,0,0,0
2024-07-17T00:07:30,0,0,0,0,0,0,0,0,0,0
2024-07-17T00:08:00,0,0,0,0,0,0,0,0,0,0
2024-07-17T00:08:30,0,0,0,0,0,0,0,0,0,0
2024-07-17T00:09:00,0,0,0,0,0,0,0,0,0,0
2024-07-17T00:09:30,0,0,0,0,0,0,0,0,0,0
2024-07-17T00:10:00,0,0,0,0,0,0,2,2,2,2
2024-07-17T00:10:30,6,6,6,6,7,7,4,4,2,2
2024-07-17T00:11:00,0,0,0,0,0,0,2,2,2,2
2024-07-17T00:11:30,0,0,1,1,2,2,5,5,5,5
2024-07-17T00:12:00,1,1,1,1,2,2,5,5,5,5
2024-07-17T00:12:30,1,1,0,0,2,2,5,5,5,5
2024-07-17T00:13:00,1,1,1,1,2,2,5,5,5,5
2024-07-17T00:13:30,1,1,1,1,2,2,5,5,5,5
2024-07-17T00:14:00,1,1,1,1,2,2,5,5,5,5
2024-07-17T00:14:30,1,1,1,1,1,1,5,5,5,5
2024-07-17T00:15:00,1,1,1,1,1,1,5,5,5,5
2024-07-17T00:15:30,1,1,1,1,1,1,5,5,5,5
2024-07-17T00:16:00,1,1,1,1,1,1,5,5,5,5
2024-07-17T00:16:30,1,1,1,1,1,1,5,5,5,5
2024-07-17T00:17:00,7,7,7,7,7,7,8,8,7,7
2024-07-17T00:17:30,7,7,7,7,7,7,8,8,7,7
2024-07-17T00:18:00,8,8,7,7,7,7,8,8,7,7
2024-07-17T00:18:30,8,8,7,7,7,7,8,8,7,7
2024-07-17T00:19:00,7,7,7,7,7,7,8,8,8,8
2024-07-17T00:19:30,7,7,7,7,7,7,8,8,8,8
2024-07-17T00:20:00,7,7,7,7,7,7,7,7,7,7
2024-07-17T00:20:30,7,7,7,7,7,7,9,9,8,8
2024-07-17T00:21:00,8,8,7,7,7,7,7,7,7,7
2024-07-17T00:21:30,8,8,7,7,7,7,8,8,8,8
2024-07-17T00:22:00,7,7,7,7,7,7,9,9,8,8
2024-07-17T00:22:30,7,7,7,7,7,7,9,9,8,8
2024-07-17T00:23:00,8,8,7,7,7,7,9,9,8,8
2024-07-17T00:23:30,7,7,7,7,7,7,8,8,7,7
2024-07-17T00:24:00,8,8,7,7,7,7,9,9,8,8
2024-07-17T00:24:30,7,7,7,7,7,7,9,9,8,8
2024-07-17T00:25:00,7,7,7,7,7,7,9,9,8,8
2024-07-17T00:25:30,1,1,1,1,1,1,5,5,6,6
2024-07-17T00:26:00,6,6,6,6,6,6,7,7,7,7
2024-07-17T00:26:30,7,7,7,7,7,7,7,7,7,7
2024-07-17T00:27:00,7,7,7,7,7,7,6,6,6,6
2024-07-17T00:27:30,8,8,7,7,7,7,6,6,6,6
2024-07-17T00:28:00,8,8,7,7,7,7,6,6,6,6
2024-07-17T00:28:30,8,8,7,7,7,7,7,7,7,7
2024-07-17T00:29:00,8,8,7,7,7,7,7,7,7,7
2024-07-17T00:29:30,8,8,7,7,7,7,7,7,7,7
2024-07-17T00:30:00,8,8,7,7,7,7,7,7,7,7
